Object Name,Form ID,Editor ID,Category
"Dren Plantation, Storage Shack",01480191,DrenSPlantationVSStorageSShack,CELL
"Dren Plantation, Tower Shack",01480192,DrenSPlantationVSTowerSShack,CELL
"Dren Plantation, Verethi and Dralor",01480193,DrenSPlantationVSVerethiSandSDralor,CELL
Drethan Ancestral Tomb,01480194,DrethanSAncestralSTomb,CELL
Drinith Ancestral Tomb,01480195,DrinithSAncestralSTomb,CELL
Dro'shanji's House,0002CA39,BravilDroshanjisHouse,CELL
Drulene Falen's Hut,01480196,DruleneSFalenAsSHut,CELL
"Druscashti, Lower Level",01480197,DruscashtiVSLowerSLevel,CELL
"Druscashti, Upper Level",01480198,DruscashtiVSUpperSLevel,CELL
Dubdilla,01480199,Dubdilla,CELL
"Dubdilla, Uncharted Caverns",0148019A,DubdillaVSUnchartedSCaverns,CELL
"Dubdilla, Uncharted Caverns, Lower",0148019B,DubdillaVSUnchartedSCavernsVSLower,CELL
Duchess' Quarters,0004FE1A,SENSDuchessQuarters,CELL
Duke's Quarters,0004FE1B,SENSDukesQuarters,CELL
Dul gro-Shug's Basement,0003F320,ICElvenGardensDulgroShugsHouseBasement,CELL
Dul gro-Shug's House,0002C125,ICElvenGardensDulgroShugsHouse,CELL
Dul gro-Shug's Private Quarters,0003F31F,ICElvenGardensDulgroShugsHouseUpstairs,CELL
Dulo Ancestral Tomb,0148019C,DuloSAncestralSTomb,CELL
Dulphumph gro-Urgash's House,000158AF,SEDeepwallowDulphumphgroUrgashHouse,CELL
Dummy,000982BC,TempleOfTheAncestorMoth,CELL
Dummy cell,0002F7D8,Aleswell,CELL
Dummy Cell,000C55FB,AnvilMain,CELL
Dummy Cell,0003134A,Bruma,CELL
Dummy Cell,000C55F9,BrumaMain,CELL
Dummy cell,00030FAE,Cheydinhal,CELL
Dummy cell,00003635,CheydinhalCastle,CELL
Dummy cell,000C55F8,CheydinhalStableDUPLICATE000,CELL
Dummy Cell,00024802,Chorrol,CELL
Dummy Cell,000C55F7,ChorrolStable,CELL
Dummy cell,0002C80D,IC,CELL
Dummy cell,00022F4E,ICArboretum,CELL
Dummy cell,00022F4A,ICArcaneUniversity,CELL
Dummy cell,00022F4B,ICArenaDUPLICATE000,CELL
Dummy cell,00009276,ICElvenGardens,CELL
Dummy cell,00022F49,ICImperialLegionHQ,CELL
Dummy cell,00022F48,ICMarket,CELL
Dummy cell,000C55F6,ICStable,CELL
Dummy cell,00022F47,ICTalosPlaza,CELL
Dummy cell,00005290,ImperialDungeon,CELL
Dummy cell,00035E3D,ImperialLegionCompound,CELL
Dummy cell,00185368,ImperialSewer,CELL
Dummy Cell,0000A9C5,ImperialSewerSystemTG11,CELL
Dummy Cell,0002C79C,Leyawiin,CELL
Dummy cell,00030536,LeyawiinCastle,CELL
Dummy Cell,000C55F5,LeyawiinStable,CELL
Dummy cell,00017474,SEVitharn,CELL
Dummy cell,0007EAFE,SEVitharnBailey,CELL
Dummy Cell,000C55F4,SkingradStable,CELL
Dummy cell,00028AB3,Weatherleah,CELL
Dummy Cell,0008EFA1,XPBrellach,CELL
Dummy cell,00018DB4,XPCylarne,CELL
Dummy Cell,00019D44,XPGardens,CELL
Dummy cell,00019CC2,XPGloomstonePassage,CELL
Dummy Cell,0001A866,XPHowlingHalls,CELL
Dummy Cell,0001A865,XPMilchar,CELL
Dummy Cell,0008EFA0,XPPinnacle,CELL
Dummy Cell,0007EAFF,XPVitharn,CELL
Dummy Cell for GetInCell,0006E30F,AnvilBenirusManor,CELL
Dummy cell for GetInCell,0000C0F0,AnvilCastle,CELL
Dummy cell for GetInCell,00189258,ChorrolCastle,CELL
Dummy cell for GetInCell,0001EFDB,CloudRulerTemple,CELL
Dummy cell for GetInCell,000CD4BB,GwedenFarm,CELL
Dummy cell for GetInCell,00014685,ICPalace,CELL
Dummy Cell for GetInCell,0001E070,ICTemple,CELL
Dummy cell for GetInCell,00009234,ICWaterfront,CELL
Dummy cell for GetInCell,000817C0,ImperialSewersElvenGardens,CELL
Dummy cell for GetInCell,00032D3A,Kvatch,CELL
Dummy cell for GetInCell,0001EFC1,KvatchChapel,CELL
Dummy cell for GetInCell,00097C1E,LakeArrius,CELL
Dummy cell for GetInCell,0001FBA4,LakeArriusShrine,CELL
Dummy cell for getInCell,000A4962,Malada,CELL
Dummy Cell for GetInCell,01F8D07B,MournholdVSTempleSCourtyard,CELL
Dummy cell for GetInCell,00027D76,MQ13OblivionWorld,CELL
Dummy cell for GetInCell,0001FB1D,Paradise,CELL
Dummy cell for GetInCell,00024803,SancreTor,CELL
Dummy cell for getInCell,000411F2,SEHighcross,CELL
Dummy Cell for GetInCell Chorrol Exteriors Only,00088B2E,ChorrolExt,CELL
Dummy cell for GetInCell functionality,00036260,BrumaCastle,CELL
Dummy cell for MQ10 getincell,0003A83D,MQ10BrumaOblivion,CELL
Dummy Cell for Temple District Exterior Cells Only,000980BC,ICTempleDistrict0,CELL
Dummy Cell Name for GetInCell,000B97CA,SkingradHouse,CELL
Dummy cell so GetInCell function will work,000319D9,Bravil,CELL
Dummy cell so GetInCell function will work,000C55FA,BravilStables0,CELL
Dummy interior cell for GetInCell,00027DF9,MQ14Oblivion,CELL
Dun-Ahhe,0148019D,DunTAhhe,CELL
Dungeon,00007945,AnvilCastleDungeon,CELL
Dunirai Caverns,0148019E,DuniraiSCaverns,CELL
Dunroot Burrow,00010A5D,XPDunrootBurrow01,CELL
"Dunroot Burrow, Bramble Halls",00010A4E,XPDunrootBurrow04,CELL
"Dunroot Burrow, Drone Tunnels",00010A58,XPDunrootBurrow03,CELL
"Dunroot Burrow, Kelp Fen",00010A61,XPDunrootBurrow02,CELL
"Dunroot Burrow, Sanctum of Decadence",00010A48,XPDunrootBurrow05,CELL
"Dushariran, Shrine",0148019F,DushariranVSShrine,CELL
Dust Sumps of Fieldhouse,0005C627,FieldhouseCave02,CELL
Dynari Amnis'  Basement,0003CEDF,ICTalosPlazaDynariAmnisHouseBasement,CELL
Dynari Amnis' House,0002C126,ICTalosPlazaDynariAmnisHouse,CELL
Dynari Amnis' Private Quarters,00037D0D,ICTalosPlazaDynariAmnisHouseUpstairs,CELL
Dzonot Cave,00014982,DzonotCave,CELL
Dzonot Main Cavern,00017608,DzonotCave02,CELL
Earil's Mysteries,0001231B,SENSEarilsMysteries,CELL
Earil's Mysteries Upper Floor,0001231A,SENSEarilsMysteriesUpstairs,CELL
Earthquake,0004754C,OblivionRD002Tower02Left,CELL
"Ebernanit, Shrine",014801A0,EbernanitVSShrine,CELL
Ebonheart,01480031,Ebonheart,CELL
"Ebonheart, Argonian Mission",014801A1,EbonheartVSArgonianSMission,CELL
"Ebonheart, East Empire Company Hall",014801A2,EbonheartVSEastSEmpireSCompanySHall,CELL
"Ebonheart, East Empire North Warehouse",014801A3,EbonheartVSEastSEmpireSNorthSWarehouse,CELL
"Ebonheart, East Empire South Warehouse",014801A4,EbonheartVSEastSEmpireSSouthSWarehouse,CELL
"Ebonheart, Grand Council Chambers",014801A5,EbonheartVSGrandSCouncilSChambers,CELL
"Ebonheart, Grand Council Chambers Tower",014801A6,EbonheartVSGrandSCouncilSChambersSTower,CELL
"Ebonheart, Hawkmoth Legion Garrison",014801A7,EbonheartVSHawkmothSLegionSGarrison,CELL
"Ebonheart, Hawkmoth Towers",014801A8,EbonheartVSHawkmothSTowers,CELL
"Ebonheart, Imperial Chapels",014801A9,EbonheartVSImperialSChapels,CELL
"Ebonheart, Imperial Commission",014801AA,EbonheartVSImperialSCommission,CELL
"Ebonheart, Imperial Guard Garrison",014801AB,EbonheartVSImperialSGuardSGarrison,CELL
"Ebonheart, Six Fishes",014801AC,EbonheartVSSixSFishes,CELL
"Ebonheart, Skyrim Mission",014801AD,EbonheartVSSkyrimSMission,CELL
"Ebonheart, Underground Caves",014801AE,EbonheartVSUndergroundSCaves,CELL
"Ebrocca, Crematorium",00080332,XPEbrocca06,CELL
"Ebrocca, Descenia",00010364,XPEbrocca01,CELL
"Ebrocca, Duwane",0001034A,XPEbrocca02,CELL
"Ebrocca, Fiele",00010367,XPEbrocca05,CELL
"Ebrocca, Masse",00010353,XPEbrocca04,CELL
"Ebrocca, Sepechra",0001032E,XPEbrocca03,CELL
Echo Cave,00085E50,EchoCave,CELL
Echo Mine,00015C2F,EchoMine,CELL
Echo Necromancer's Chamber,00014995,EchoCave03,CELL
Echo Passages,00083896,EchoCave02,CELL
Edgar's Basement,00049AF2,ICMarketDistrictEdgarsDiscountSpellsBasement,CELL
Edgar's Discount Spells,0002C16C,ICMarketDistrictEdgarsDiscountSpells,CELL
Edgar's Private Quarters,00049AF1,ICMarketDistrictEdgarsDiscountSpellsUpstairs,CELL
Eduard Retiene's House,0004D535,WatersEdgeEduardRetienesHouse,CELL
"Elanius Camp, Yapal's Yurt",014801AF,ElaniusSCampVSYapalAsSYurt,CELL
Elder Council Chambers,00014684,ICPalaceElderCouncilChambers,CELL
Elder Scrolls Library,0001FB10,ICPalaceLibrary,CELL
Elder Scrolls Library,001886EB,ICPalaceLibraryBackup,CELL
Elenglynn,00016634,Elenglynn,CELL
"Elf-Skerring, Cabin",014801B0,ElfTSkerringVSCabin,CELL
"Elf-Skerring, Lower Level",014801B1,ElfTSkerringVSLowerSLevel,CELL
"Elf-Skerring, Upper Level",014801B2,ElfTSkerringVSUpperSLevel,CELL
Elith-Pal Mine,014801B3,ElithTPalSMine,CELL
Eluba-Addon Egg Mine,014801B4,ElubaTAddonSEggSMine,CELL
Eluba-Addon Grotto,014801B5,ElubaTAddonSGrotto,CELL
Emma May Captain's Cabin,0004BD3E,EmmaMayCaptainsCabin,CELL
Emma May Lower Deck,0003666A,EmmaMayLowerDeck,CELL
Emma May Mid Deck,0004BD3F,EmmaMayMidDeck,CELL
Emma May Upper Deck,0003666B,EmmaMayUpperDeck,CELL
Empty Mine,00015C34,EmptyMine,CELL
Empty Mine Lair,0005F48F,Emptymine03,CELL
Empty Mine Tunnels,0005F490,Emptymine02,CELL
"Endusal, Kagrenac's study",014801B6,EndusalVSKagrenacAsSstudy,CELL
Erabenimsun Camp,01480009,ErabenimsunSCamp,CELL
"Erabenimsun Camp, Addut-Lamanu's Yurt",014801B7,ErabenimsunSCampVSAddutTLamanuAsSYurt,CELL
"Erabenimsun Camp, Ainab's Yurt",014801B8,ErabenimsunSCampVSAinabAsSYurt,CELL
"Erabenimsun Camp, Ashkhan's Yurt",014801B9,ErabenimsunSCampVSAshkhanAsSYurt,CELL
"Erabenimsun Camp, Ashu-Ahhe's Yurt",014801BA,ErabenimsunSCampVSAshuTAhheAsSYurt,CELL
"Erabenimsun Camp, Assemmus' Yurt",014801BB,ErabenimsunSCampVSAssemmusASYurt,CELL
"Erabenimsun Camp, Han-Ammu's Yurt",014801BC,ErabenimsunSCampVSHanTAmmuAsSYurt,CELL
"Erabenimsun Camp, Massarapal's Yurt",014801BD,ErabenimsunSCampVSMassarapalAsSYurt,CELL
"Erabenimsun Camp, Ranabi's Yurt",014801BE,ErabenimsunSCampVSRanabiAsSYurt,CELL
"Erabenimsun Camp, Salattanat's Yurt",014801BF,ErabenimsunSCampVSSalattanatAsSYurt,CELL
"Erabenimsun Camp, Wise Woman's Yurt",014801C0,ErabenimsunSCampVSWiseSWomanAsSYurt,CELL
Eretammus-Sennammu Egg Mine,014801C1,EretammusTSennammuSEggSMine,CELL
Erik Magic Test,000AEEA0,TestErikMagic,CELL
Eruption,0004754D,OblivionRD002Tower01Left,CELL
Erver Devani's House,000158B0,SEDeepwallowErverDevanisHouse,CELL
"Esutanamus, Shrine",014801C2,EsutanamusVSShrine,CELL
Eugal Belette's Basement,00025D07,ChorrolEugalBelettesBasement,CELL
Eugal Belette's House,00000827,ChorrolEugalBelettesHouse,CELL
Exhausted Mine,00015C32,ExhaustedMine,CELL
Exhausted Mine Bottom Section,0005F48D,ExhaustedMine03,CELL
Exhausted Mine Spent Works,0005F48E,ExhaustedMine02,CELL
Eyes of the Serpent,0003A91B,PalePass01,CELL
Fadathram Ancestral Tomb,014801C3,FadathramSAncestralSTomb,CELL
Fain,0001034E,XPFain01,CELL
"Fair Helas, Cabin",014801C4,FairSHelasVSCabin,CELL
"Fair Helas, Lower Level",014801C5,FairSHelasVSLowerSLevel,CELL
"Fair Helas, Upper Level",014801C6,FairSHelasVSUpperSLevel,CELL
Falas Ancestral Tomb,014801C7,FalasSAncestralSTomb,CELL
Falasmaryon,0148003A,Falasmaryon,CELL
"Falasmaryon, Lower Level",014801C8,FalasmaryonVSLowerSLevel,CELL
"Falasmaryon, Missun Akin's Hut",014801C9,FalasmaryonVSMissunSAkinAsSHut,CELL
"Falasmaryon, Propylon Chamber",014801CA,FalasmaryonVSPropylonSChamber,CELL
"Falasmaryon, Sewers",014801CB,FalasmaryonVSSewers,CELL
"Falasmaryon, Upper Level",014801CC,FalasmaryonVSUpperSLevel,CELL
Falensarano,01480015,Falensarano,CELL
"Falensarano, Lower Level",014801CD,FalensaranoVSLowerSLevel,CELL
"Falensarano, Propylon Chamber",014801CE,FalensaranoVSPropylonSChamber,CELL
"Falensarano, Upper Level",014801CF,FalensaranoVSUpperSLevel,CELL
Fallen Rock Cave,0002A576,FallenRockCave,CELL
"Falvillo's Endeavor, Cabin",014801D0,FalvilloAsSEndeavorVSCabin,CELL
"Falvillo's Endeavor, Lower Level",014801D1,FalvilloAsSEndeavorVSLowerSLevel,CELL
"Falvilo's Endeavor, Upper Level",014801D2,FalviloAsSEndeavorVSUpperSLevel,CELL
Fanacas,00016641,Fanacas,CELL
Fanacasecul,0001663C,Fanacasecul,CELL
Fangs of the Serpent,0003887E,PalePass02,CELL
Faregyl's Interior,0003156C,FaregylInterior,CELL
Fatback Cave,000149B3,FatbackCave,CELL
Fatback Deep Basins,0005E1E7,FatbackCave03,CELL
Fatback Great Chamber,0005E1E5,FatbackCave02,CELL
Fathis Ules' Basement,00047CA6,ICElvenGardensFathisUlesHouseBasement,CELL
Fathis Ules' House,0002C1B3,ICElvenGardensFathisUlesHouse,CELL
Fathis Ules' Private Quarters,00047CA7,ICElvenGardensFathisUlesHouseUpstairs,CELL
Favel Ancestral Tomb,014801D3,FavelSAncestralSTomb,CELL
Felgageldt Cave,000149BA,FelgageldtCave,CELL
Felgageldt Wishbone Vault,000A62FE,FelgageldtCave02,CELL
Fetid Grove,00010A62,XPFetidGrove01,CELL
"Fetid Grove, Encampment",00010A77,XPFetidGrove02,CELL
Fieldhouse Cave,000149B2,FieldhouseCave,CELL
Fields of Kummu,01480033,FieldsSofSKummu,CELL
Fighters Guild,000308CB,AnvilFightersGuild,CELL
Fighters Guild,0002FF4F,BravilFightersGuild,CELL
Fighters Guild,000235DE,ChorrolFightersGuild,CELL
Fighter's Guild,00030535,LeyawiinFightersGuild,CELL
Fighter's Guild 2nd Floor East,0003E0E5,LeyawiinFightersGuildTraining,CELL
Fighter's Guild 2nd Floor West,0003E0E4,LeyawiinFightersGuildRoom01,CELL
Fighter's Guild 3rd Floor West,0003E0E3,LeyawiinFightersGuildRoom02,CELL
Fighters Guild Basement,00003AAF,BrumaFightersGuildBasement,CELL
Fighters Guild Basement,0002D155,SkingradFightersGuildBasement,CELL
Fighter's Guild Basement,00032F02,LeyawiinFightersGuildBasement,CELL
Fighters Guild Company Offices,0004F8C8,AnvilFightersGuildCompanyOffices,CELL
Fighters Guild Dining Hall,000097B4,AnvilFightersGuildDinningHall,CELL
Fighters Guild Upstairs,0002CFD7,SkingradFightersGuildUpstairs,CELL
Fighting Dojo,00025ED6,WarehouseFight,CELL
Fingerbowl Cave,00014984,FingerbowlCave,CELL
Fingerbowl Cave - Lord Crypt,00083716,FingerbowlCave04,CELL
Fingerbowl Cave - Noble Crypt,00083717,FingerbowlCave03,CELL
Fingerbowl Cave - Servant Crypt,00083715,FingerbowlCave02,CELL
Fire and Steel,00000809,ChorrolFireAndSteel,CELL
"Firemoth, Dungeon",01480593,FiremothVSDungeon,CELL
"Firemoth, Great Hall",01480590,FiremothVSGreatSHall,CELL
"Firemoth, Guard Quarters",01480592,FiremothVSGuardSQuarters,CELL
"Firemoth, Guard Towers",01480596,FiremothVSGuardSTowers,CELL
"Firemoth, Keep",0148058F,FiremothVSKeep,CELL
"Firemoth, Lower Cavern",01480594,FiremothVSLowerSCavern,CELL
"Firemoth, Mine",01480598,FiremothVSMine,CELL
"Firemoth, Tomb",01480595,FiremothVSTomb,CELL
"Firemoth, Upper Cavern",01480597,FiremothVSUpperSCavern,CELL
"Firemoth, Upper Chambers",01480591,FiremothVSUpperSChambers,CELL
First Edition,0002C16E,ICMarketDistrictFirstEdition,CELL
First Edition Basement,00049E2D,ICMarketDistrictFirstEditionBasement,CELL
First Edition Private Quarters,00049E2C,ICMarketDistrictFirstEditionUpstairs,CELL
Five Claws Lodge,0002C7CC,LeyawiinFiveClawsLodge,CELL
Five Riders Stable,0004EA57,LeyawiinFiveRidersStable,CELL
Flooded Mine,00030059,FloodedMine,CELL
Floyd Nathan's House,00094C45,BlankenMarchHouse01,CELL
Forgotten Shipwreck,014801D4,ForgottenSShipwreck,CELL
"Forgotten Vaults of Anudnabia, Forge of Hilbongard",014801D5,ForgottenSVaultsSofSAnudnabiaVSForgeSofSHilbongard,CELL
Forsaken Mine,0002F9EA,ForsakenMine,CELL
Forsaken Mine Lost Passages,0003B1F8,ForsakenMine02,CELL
Fort Alessia,00015E3A,FortAlessia,CELL
Fort Alessia Assembly Hall,0001ED42,FortAlessia02,CELL
Fort Ash,00015E2A,FortAsh01,CELL
Fort Ash Stockade,0003292A,FortAsh02,CELL
Fort Aurus,00015E30,FortAurus,CELL
Fort Black Boot,00015E35,FortBlackBoot,CELL
Fort Blueblood,0003C2CD,FortBlueBlood,CELL
Fort Blueblood Halls,0003379A,FortBlueBlood02,CELL
Fort Blueblood Halls,000C7B37,FortBlueBlood02Backup,CELL
Fort Caractacus,000975B9,FortCaractacus,CELL
Fort Carmala,00015E36,FortCarmala,CELL
Fort Cedrian,00015E37,FortCedrian01,CELL
Fort Cedrian Mausoleum,00059094,FortCedrian02,CELL
Fort Chalman,00015E33,FortChalman,CELL
Fort Coldcorn,00015E18,FortColdcorn,CELL
Fort Cuptor,00015E22,FortCuptor,CELL
Fort Cuptor Battlemains,000CA9AB,FortCuptor02,CELL
Fort Dirich,00015E43,FortDirich,CELL
Fort Doublecross,00015E34,FortDoublecross,CELL
Fort Doublecross Battlemage Muster,00058F43,FortDoublecross03,CELL
Fort Doublecross Caves,00058B36,FortDoublecross02,CELL
Fort Empire,00015E25,FortEmpire,CELL
Fort Empire Barracks Block,000A99C0,FortEmpire02,CELL
Fort Entius,00015E2E,FortEntius01,CELL
Fort Entius Sepulcher,000A8EAA,FortEntius02,CELL
Fort Facian,00015E1E,FortFacian,CELL
Fort Facian Vaults of Honor,0003CD75,FortFacian02,CELL
Fort Farragut,0002FB2C,FortFarragut,CELL
Fort Flecia,00015E2B,FortFlecia,CELL
Fort Frostmoth,01480524,FortSFrostmoth,CELL
"Fort Frostmoth, Armory",0148052E,FortSFrostmothVSArmory,CELL
"Fort Frostmoth, Carius' Chambers",0148052F,FortSFrostmothVSCariusASChambers,CELL
"Fort Frostmoth, Curtain Wall",01480530,FortSFrostmothVSCurtainSWall,CELL
"Fort Frostmoth, General Quarters",01480531,FortSFrostmothVSGeneralSQuarters,CELL
"Fort Frostmoth, General Quarters, Upper Level",01480532,FortSFrostmothVSGeneralSQuartersVSUpperSLevel,CELL
"Fort Frostmoth, Imperial Cult Shrine",01480533,FortSFrostmothVSImperialSCultSShrine,CELL
"Fort Frostmoth, Prison",01480534,FortSFrostmothVSPrison,CELL
"Fort Frostmoth, Supply Room",01480535,FortSFrostmothVSSupplySRoom,CELL
Fort Gold-Throat,00015E32,FortGoldThroat,CELL
Fort Hastrel,00015E1C,FortHastrel01,CELL
Fort Hastrel Keep,000A2B01,FortHastrel02,CELL
Fort Homestead,00015E3F,FortHomestead01,CELL
Fort Homestead Heroes' Hall,0001C388,FortHomestead03,CELL
Fort Homestead Passages,0001C387,FortHomestead02,CELL
Fort Horunn,00015E28,FortHorunn,CELL
Fort Horunn Hall of the Eternal Flame,000A9162,FortHorunn02,CELL
Fort Horunn Legate Assembly,000A9161,FortHorunn03,CELL
Fort Irony,00015E2C,FortIrony,CELL
Fort Istirus,00015E21,FortIstirus,CELL
Fort Istirus Barracks,00059493,FortIstirus03,CELL
Fort Istirus Sanctuaries,00059494,FortIstirus02,CELL
Fort Linchal,00015E23,FortLinchal,CELL
Fort Linchal Hall of Knights,0004EB3C,FortLinchal03,CELL
Fort Linchal Temple of War,0004EB3D,FortLinchal02,CELL
Fort Magia,00015E1D,FortMagia,CELL
Fort Magia Garrison Blocks,0003CD77,FortMagia03,CELL
Fort Magia Memorials,0003CD76,FortMagia02,CELL
Fort Naso,00015E1A,FortNaso,CELL
Fort Nikel,00015E3D,FortNikel,CELL
Fort Nomore,00015E26,FortNomore,CELL
Fort Nomore Bunker,000A99BF,FortNomore02,CELL
Fort Ontus,0001465F,FortOntus,CELL
Fort Ontus Understreets,0004F407,FortOntus02,CELL
Fort Rayles,00015E31,FortRayles,CELL
Fort Rayles,000CACDA,FortRayles02DUPLICATE000,CELL
Fort Rayles Hall of Winter,000CAB7E,FortRayles02,CELL
Fort Redman,0000B239,FortRedman01,CELL
Fort Redman Hall of Judges,000493FE,FortRedman02,CELL
Fort Redwater,00015E19,FortRedwater01,CELL
Fort Redwater Halls of Glory,000A72A3,FortRedwater02,CELL
Fort Roebeck,00015E2F,FortRoebeck01,CELL
Fort Roebeck Winter Station,000A9CE4,FortRoebeck02,CELL
Fort Ruins Clutter Mausoleum,0009DB51,WarehouseFortRuinsxxxCLUTTER,CELL
Fort Scinia,00015E39,FortScinia01,CELL
Fort Scinia Hall of Legends,000566FC,FortScinia02,CELL
Fort Sejanus,00015E2D,FortSejanus01,CELL
Fort Sejanus Catacombs,0003292B,FortSejanus02,CELL
Fort Strand,00015E3C,FortStrand01,CELL
Fort Strand Great Dome,0003EBD3,FortStrand02,CELL
Fort Sutch,00030FCE,FortSutchInterior,CELL
Fort Teleman,00049BC0,FortTeleman,CELL
Fort Teleman Order of the Black Rose,0000C087,FortTeleman02,CELL
Fort Urasek,00015E42,FortUrasek,CELL
Fort Urasek,000CACDC,FortUrasek02DUPLICATE000,CELL
Fort Urasek Company Billets,000CA58F,FortUrasek02,CELL
Fort Variela,00015E24,FortVariela,CELL
Fort Variela Staff Quarters,0005B04D,FortVariela02,CELL
Fort Virtue,00015E1F,FortVirtue,CELL
Fort Vlastarus,00015E1B,FortVlastarus,CELL
Fort Wariel,00015E38,FortWariel,CELL
Fort Wooden Hand,00015E41,FortWoodenHand01,CELL
Fort Wooden Hand Stockade,000566FB,FortWoodenHand02,CELL
Francois Motierre's Basement,00024679,ChorrolFrancoisMotierresBasement,CELL
Francois Motierre's House,00000824,ChorrolFrancoisMotierresHouse,CELL
Freed Slave Cell,010100E5,FreedSlaveCell,CELL
Freed Slave Cell,01007C29,FreedSlaveCell2,CELL
Freed Slave Cell,01001B8F,FreedSlaveCell3,CELL
Frostfire Cave,00093E8E,FrostFireCave,CELL
Fyrelight - Deep Canyon,0005B2B0,FyrelightCave02,CELL
Fyrelight - The Lost Sump,0005B2AF,FyrelightCave03,CELL
Fyrelight Cave,00014987,FyrelightCave,CELL
"Galom Daeus, Entry",014801D6,GalomSDaeusVSEntry,CELL
"Galom Daeus, Observatory",014801D7,GalomSDaeusVSObservatory,CELL
Ganredhel's House,0003041D,CheydinhalGanredhelsHouse,CELL
Gardens of Flesh and Bone,00010A63,XPGardens01,CELL
Garlas Agea,000817C9,GarlasAgea,CELL
Gauntlet Test,00088835,TestDan02,CELL
Geem Jasaiin's Basement,0003FC04,ICElvenGardensGeemJasaiinsHouseBasement,CELL
Geem Jasaiin's House,0002C1B1,ICElvenGardensGeemJasaiinsHouse,CELL
Geem Jasaiin's Private Quarters,0003FBFE,ICElvenGardensGeemJasaiinsHouseUpstairs,CELL
Ghostgate,0148002D,Ghostgate,CELL
"Ghostgate, Temple",014801D8,GhostgateVSTemple,CELL
"Ghostgate, Tower of Dawn",014801D9,GhostgateVSTowerSofSDawn,CELL
"Ghostgate, Tower of Dawn Lower Level",014801DA,GhostgateVSTowerSofSDawnSLowerSLevel,CELL
"Ghostgate, Tower of Dusk",014801DB,GhostgateVSTowerSofSDusk,CELL
"Ghostgate, Tower of Dusk Lower Level",014801DC,GhostgateVSTowerSofSDuskSLowerSLevel,CELL
Gilen Norvalo's Basement,0004D859,ICTempleDistrictGilenNorvalosBasement,CELL
Gilen Norvalo's House,0002C195,ICTempleDistrictGilenNorvalosHouse,CELL
Gilen Norvalo's Private Quarters,0004EDAA,ICTempleDistrictGilenNorvalosHouseUpstairs,CELL
Gimothran Ancestral Tomb,014801DD,GimothranSAncestralSTomb,CELL
Ginith Ancestral Tomb,014801DE,GinithSAncestralSTomb,CELL
Glademist Cave,00035687,GlademistCave,CELL
Glarthir's Basement,0002F539,SkingradGlarthirsBasement,CELL
Glarthir's House,00027D48,SkingradGlarthirsHouse,CELL
Gnaar Mok,01480049,GnaarSMok,CELL
"Gnaar Mok, Anglalos's Shack",014801DF,GnaarSMokVSAnglalosAsSShack,CELL
"Gnaar Mok, Arenim Manor",014801E0,GnaarSMokVSArenimSManor,CELL
"Gnaar Mok, Caryarel's Shack",014801E1,GnaarSMokVSCaryarelAsSShack,CELL
"Gnaar Mok, Dreugh-jigger's Rest",014801E2,GnaarSMokVSDrueghTjiggerAsSRest,CELL
"Gnaar Mok, Jerian Dolbanitte's Shack",014801E3,GnaarSMokVSJerianSDolbanitteAsSShack,CELL
"Gnaar Mok, Mush-Mere's Shack",014801E4,GnaarSMokVSMushTMereAsSShack,CELL
"Gnaar Mok, Nadene Rotheran's Shack",014801E5,GnaarSMokVSNadeneSRotheranAsSShack,CELL
"Gnaar Mok, Rostlogi's Shack",014801E6,GnaarSMokVSRostlogiAsSShack,CELL
Gnisis,0148004E,Gnisis,CELL
"Gnisis, Abelmawia Hut",014801E7,GnisisVSAbelmawiaSHut,CELL
"Gnisis, Almu Cave Dwelling",014801E8,GnisisVSAlmuSCaveSDwelling,CELL
"Gnisis, Arvs-Drelen",014801E9,GnisisVSArvsTDrelen,CELL
"Gnisis, Barracks",014801EA,GnisisVSBarracks,CELL
"Gnisis, Bethamez",014801EB,GnisisVSBethamez,CELL
"Gnisis, Dinadad Hut",014801EC,GnisisVSDinadadSHut,CELL
"Gnisis, Eggmine",014801ED,GnisisVSEggmine,CELL
"Gnisis, Fort Darius",014801EE,GnisisVSFortSDarius,CELL
"Gnisis, Lasamsi Cave Dwelling",014801EF,GnisisVSLasamsiSCaveSDwelling,CELL
"Gnisis, Lower Eggmine",014801F0,GnisisVSLowerSEggmine,CELL
"Gnisis, Madach Tradehouse",014801F1,GnisisVSMadachSTradehouse,CELL
"Gnisis, Man-llu Hut",014801F2,GnisisVSManTlluSHut,CELL
"Gnisis, Mantiti Cave Dwelling",014801F3,GnisisVSMantitiSCaveSDwelling,CELL
"Gnisis, Shand Hut",014801F4,GnisisVSShandSHut,CELL
"Gnisis, Shishara Hut",014801F5,GnisisVSShisharaSHut,CELL
"Gnisis, Tansumiran Cave Dwelling",014801F6,GnisisVSTansumiranSCaveSDwelling,CELL
"Gnisis, Temple",014801F7,GnisisVSTemple,CELL
"Gnisis, Underground Stream",014801F8,GnisisVSUndergroundSStream,CELL
"Gnisis, Vabdas Hut",014801F9,GnisisVSVabdasSHut,CELL
"Gnisis, Yahaz Hut",014801FA,GnisisVSYahazSHut,CELL
Goblin Jim's Cave,0003131C,GoblinJimsCave,CELL
Goblin Jim's Pantry,0005E1DF,GoblinJimsCave03,CELL
